                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.74269,                0.58967,                 1.2138,                0.88895,                0.90664,                0.93841,                0.72394,                 0.8361,                0.54694,                 1.3953,              0.0093268,              0.0093268,              0.0093268
                     71,                0.74812,                0.59126,                 1.2179,                0.90609,                0.91357,                0.95276,                0.75279,                 0.8012,                0.53257,                 1.3591,              0.0093169,              0.0093169,              0.0093169
                     72,                0.73523,                0.58321,                 1.2121,                0.87438,                 0.9043,                0.93102,                0.70172,                0.86142,                0.56042,                 1.4353,               0.009307,               0.009307,               0.009307
                     73,                0.73343,                  0.567,                 1.2094,                0.92733,                0.86562,                0.93728,                 0.7346,                0.83393,                0.54248,                 1.3836,              0.0092971,              0.0092971,              0.0092971
                     74,                 0.7288,                0.58009,                 1.2073,                0.92333,                0.91451,                0.94697,                0.73386,                 0.8202,                0.52564,                 1.3774,              0.0092872,              0.0092872,              0.0092872
                     75,                0.72573,                0.57213,                 1.2017,                0.90986,                0.90143,                0.94212,                0.74352,                0.78254,                0.49792,                 1.3413,              0.0092773,              0.0092773,              0.0092773
                     76,                0.73051,                0.57037,                 1.2052,                0.90381,                 0.8947,                0.93425,                0.72782,                0.82183,                0.53399,                 1.3675,              0.0092674,              0.0092674,              0.0092674
                     77,                0.73088,                0.56704,                 1.2083,                0.92743,                0.90441,                0.95029,                 0.7453,                0.79877,                0.50374,                 1.3511,              0.0092575,              0.0092575,              0.0092575
                     78,                0.72615,                0.56507,                 1.2055,                0.90069,                0.91166,                0.95178,                0.75391,                0.78971,                0.50038,                 1.3421,              0.0092476,              0.0092476,              0.0092476
                     79,                0.72468,                0.56899,                 1.2023,                0.92444,                0.88681,                0.94659,                  0.731,                0.80548,                0.53057,                 1.3569,              0.0092377,              0.0092377,              0.0092377
                     80,                0.71703,                0.55408,                 1.1997,                0.92969,                0.86453,                 0.9473,                0.74576,                0.80705,                0.51124,                 1.3565,              0.0092278,              0.0092278,              0.0092278
                     81,                0.73224,                0.55318,                 1.2076,                0.93711,                0.90893,                0.95666,                0.76522,                0.77795,                0.47792,                 1.3285,              0.0092179,              0.0092179,              0.0092179
                     82,                 0.7175,                0.55711,                 1.1939,                0.93789,                 0.8891,                0.94923,                0.72959,                0.80551,                0.50347,                 1.3655,               0.009208,               0.009208,               0.009208
                     83,                0.72053,                0.55733,                 1.2003,                0.91829,                0.89633,                0.95161,                0.75693,                0.78584,                0.48583,                 1.3466,              0.0091981,              0.0091981,              0.0091981
