                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.55016,                0.44619,                 1.0992,                0.92881,                0.94409,                0.96572,                0.80968,                  0.726,                0.37726,                 1.2318,              0.0090001,              0.0090001,              0.0090001
                    104,                0.55196,                  0.446,                 1.1021,                 0.9213,                0.94027,                0.96462,                0.80291,                0.73574,                0.38122,                 1.2413,              0.0089902,              0.0089902,              0.0089902
                    105,                0.55333,                  0.446,                 1.0995,                0.93672,                0.94335,                0.96778,                0.80753,                0.73593,                0.37989,                 1.2347,              0.0089803,              0.0089803,              0.0089803
                    106,                 0.5516,                0.44955,                 1.1034,                0.94172,                0.94414,                0.96728,                0.79715,                0.74422,                0.38403,                 1.2445,              0.0089704,              0.0089704,              0.0089704
                    107,                0.55861,                0.45216,                  1.108,                0.93991,                0.94615,                0.96512,                0.79845,                0.73678,                0.38601,                 1.2412,              0.0089605,              0.0089605,              0.0089605
                    108,                0.54956,                0.44355,                 1.0973,                 0.9327,                0.95286,                 0.9642,                0.79615,                0.73895,                 0.3789,                 1.2433,              0.0089506,              0.0089506,              0.0089506
                    109,                0.54603,                0.43664,                 1.0963,                0.93961,                0.94178,                0.96493,                0.79974,                0.73172,                0.37353,                 1.2371,              0.0089407,              0.0089407,              0.0089407
                    110,                0.55218,                0.43977,                 1.1013,                0.94065,                0.94427,                0.96694,                0.80688,                0.71679,                0.37391,                 1.2261,              0.0089308,              0.0089308,              0.0089308
                    111,                 0.5511,                0.44779,                 1.0991,                0.94796,                0.93826,                0.96723,                0.80883,                0.71512,                0.37869,                 1.2213,              0.0089209,              0.0089209,              0.0089209
                    112,                0.54178,                0.43686,                 1.0895,                0.93804,                0.93882,                0.96591,                 0.7998,                0.72611,                 0.3848,                 1.2327,               0.008911,               0.008911,               0.008911
                    113,                0.54747,                0.43393,                  1.098,                  0.936,                0.94016,                 0.9659,                0.80754,                 0.7198,                0.37551,                 1.2264,              0.0089011,              0.0089011,              0.0089011
                    114,                0.55011,                0.44103,                 1.1022,                 0.9301,                0.94611,                0.96506,                0.80363,                0.71898,                0.37662,                 1.2245,              0.0088912,              0.0088912,              0.0088912
                    115,                0.54421,                 0.4325,                 1.0918,                0.95382,                0.93309,                0.96512,                0.80446,                0.71911,                0.37771,                 1.2242,              0.0088813,              0.0088813,              0.0088813
                    116,                0.53979,                0.43439,                 1.0941,                0.93586,                0.94786,                0.96372,                0.80178,                0.71497,                0.37974,                 1.2232,              0.0088714,              0.0088714,              0.0088714
                    117,                0.53831,                0.43282,                  1.093,                0.94243,                0.94529,                 0.9648,                0.80423,                0.70666,                0.37415,                 1.2194,              0.0088615,              0.0088615,              0.0088615
                    118,                0.54208,                0.43042,                 1.0922,                0.94636,                0.94543,                0.96544,                0.80867,                0.69899,                0.36854,                 1.2165,              0.0088516,              0.0088516,              0.0088516
                    119,                 0.5422,                0.43444,                 1.0984,                0.94253,                0.95236,                0.96741,                0.81092,                0.69845,                0.36929,                 1.2147,              0.0088417,              0.0088417,              0.0088417
                    120,                0.53818,                0.43175,                 1.0923,                0.94351,                0.93864,                0.96562,                 0.8133,                0.70068,                0.36623,                 1.2128,              0.0088318,              0.0088318,              0.0088318
                    121,                0.53394,                0.42971,                 1.0893,                0.93915,                0.94576,                 0.9669,                 0.8125,                0.70397,                0.36849,                 1.2111,              0.0088219,              0.0088219,              0.0088219
                    122,                 0.5475,                0.44152,                 1.0991,                0.93901,                0.94215,                0.96728,                0.81094,                0.70651,                0.37118,                 1.2137,               0.008812,               0.008812,               0.008812
                    123,                0.53757,                0.43197,                 1.0913,                0.93598,                0.93928,                0.96719,                0.81194,                0.70229,                0.37093,                 1.2136,              0.0088021,              0.0088021,              0.0088021
                    124,                 0.5343,                0.42991,                 1.0882,                0.93185,                0.94995,                0.96829,                0.81269,                0.70339,                0.37037,                 1.2139,              0.0087922,              0.0087922,              0.0087922
                    125,                0.53504,                0.42663,                 1.0899,                0.93328,                0.94653,                0.96671,                0.81188,                0.69687,                0.36746,                 1.2104,              0.0087823,              0.0087823,              0.0087823
                    126,                0.54457,                0.43457,                 1.0958,                0.93249,                0.94514,                0.96581,                0.81139,                0.69921,                0.36765,                 1.2114,              0.0087724,              0.0087724,              0.0087724
                    127,                0.53682,                0.42345,                 1.0924,                0.93378,                0.94356,                 0.9659,                0.81292,                0.69974,                0.36634,                 1.2111,              0.0087625,              0.0087625,              0.0087625
                    128,                0.53449,                0.42088,                 1.0878,                0.93697,                0.94004,                0.96772,                0.81294,                0.69784,                0.36494,                 1.2089,              0.0087526,              0.0087526,              0.0087526
                    129,                0.53464,                0.42761,                   1.09,                0.93877,                0.94053,                0.96813,                0.81148,                0.69779,                0.36418,                 1.2098,              0.0087427,              0.0087427,              0.0087427
                    130,                0.52819,                0.42662,                 1.0883,                0.93946,                 0.9433,                0.96828,                0.81399,                0.69736,                0.36326,                 1.2092,              0.0087328,              0.0087328,              0.0087328
                    131,                0.53919,                0.42588,                 1.0918,                0.94407,                0.93883,                0.96789,                0.81164,                0.69777,                0.36521,                 1.2098,              0.0087229,              0.0087229,              0.0087229
                    132,                0.53284,                0.42657,                  1.088,                0.94306,                0.93515,                0.96757,                 0.8159,                0.69876,                0.36609,                 1.2088,               0.008713,               0.008713,               0.008713
                    133,                0.53204,                0.42096,                 1.0832,                0.94394,                0.93787,                0.96702,                0.81969,                0.69676,                0.36518,                 1.2038,              0.0087031,              0.0087031,              0.0087031
